,EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
735,736,25,Bertahan,Travel_Rarely,685,Research & Development,1,3,Life Sciences,1,1,Female,62,3,2,Manufacturing Director,3,Married,4898,7505,0,Y,Tidak Lembur,12,3,4,80,2,5,3,3,4,2,1,2
736,737,46,Bertahan,Non-Travel,1144,Research & Development,7,4,Medical,1,3,Female,30,3,2,Manufacturing Director,3,Married,5258,16044,2,Y,Tidak Lembur,14,3,3,80,0,7,2,4,1,0,0,0
737,738,29,Bertahan,Travel_Rarely,738,Research & Development,9,5,Other,1,2,Male,30,2,1,Laboratory Technician,4,Single,3983,7621,0,Y,Tidak Lembur,17,3,3,80,0,4,2,3,3,2,2,2
738,739,44,Keluar,Travel_Frequently,920,Research & Development,24,3,Life Sciences,1,4,Male,43,3,1,Laboratory Technician,3,Divorced,3161,19920,3,Y,Lembur,22,4,4,80,1,19,0,1,1,0,0,0
739,740,26,Bertahan,Travel_Rarely,933,Sales,1,3,Life Sciences,1,3,Male,57,3,2,Sales Executive,3,Married,5296,20156,1,Y,Tidak Lembur,17,3,2,80,1,8,3,3,8,7,7,7
740,741,55,Bertahan,Non-Travel,444,Research & Development,2,1,Medical,1,3,Male,40,2,4,Manager,1,Single,16756,17323,7,Y,Tidak Lembur,15,3,2,80,0,31,3,4,9,7,6,2
742,743,35,Bertahan,Travel_Rarely,464,Research & Development,4,2,Other,1,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,Y,Tidak Lembur,12,3,3,80,1,1,3,3,1,0,0,0
744,745,29,Keluar,Travel_Frequently,337,Research & Development,14,1,Other,1,3,Female,84,3,3,Healthcare Representative,4,Single,7553,22930,0,Y,Lembur,12,3,1,80,0,9,1,3,8,7,7,7
746,747,32,Bertahan,Travel_Rarely,498,Research & Development,3,4,Medical,1,3,Female,93,3,2,Manufacturing Director,1,Married,6725,13554,1,Y,Tidak Lembur,12,3,3,80,1,8,2,4,8,7,6,3
747,748,41,Keluar,Travel_Rarely,1356,Sales,20,2,Marketing,1,2,Female,70,3,1,Sales Representative,2,Single,3140,21728,1,Y,Lembur,22,4,4,80,0,4,5,2,4,3,0,2
748,749,28,Keluar,Travel_Rarely,890,Research & Development,2,4,Medical,1,3,Male,46,3,1,Research Scientist,3,Single,4382,16374,6,Y,Tidak Lembur,17,3,4,80,0,5,3,2,2,2,2,1
749,750,35,Bertahan,Travel_Frequently,482,Research & Development,4,4,Life Sciences,1,3,Male,87,3,2,Research Scientist,3,Single,4249,2690,1,Y,Lembur,11,3,2,80,0,9,3,3,9,6,1,1
751,752,28,Bertahan,Travel_Frequently,791,Research & Development,1,4,Medical,1,4,Male,44,3,1,Laboratory Technician,3,Single,2154,6842,0,Y,Lembur,11,3,3,80,0,5,2,2,4,2,0,2
752,753,45,Bertahan,Travel_Frequently,1199,Research & Development,7,4,Life Sciences,1,1,Male,77,4,2,Manufacturing Director,3,Married,6434,5118,4,Y,Tidak Lembur,17,3,4,80,1,9,1,3,3,2,0,2
753,754,42,Bertahan,Travel_Rarely,933,Research & Development,29,3,Life Sciences,1,2,Male,98,3,2,Manufacturing Director,2,Married,4434,11806,1,Y,Tidak Lembur,13,3,4,80,1,10,3,2,9,8,7,8
754,755,29,Bertahan,Non-Travel,746,Sales,2,3,Life Sciences,1,4,Male,61,3,2,Sales Executive,3,Married,4649,16928,1,Y,Tidak Lembur,14,3,1,80,1,4,3,2,4,3,0,2
755,756,26,Bertahan,Travel_Rarely,583,Research & Development,4,2,Life Sciences,1,3,Male,53,3,1,Research Scientist,4,Single,2875,9973,1,Y,Lembur,20,4,2,80,0,8,2,2,8,5,2,2
756,757,59,Bertahan,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,1,Female,99,3,3,Sales Executive,1,Single,7637,2354,7,Y,Tidak Lembur,11,3,4,80,0,28,3,2,21,16,7,9
757,758,31,Bertahan,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,Y,Tidak Lembur,17,3,4,80,1,5,1,2,5,2,4,3
759,760,52,Bertahan,Travel_Rarely,319,Research & Development,3,3,Medical,1,4,Male,39,2,3,Manufacturing Director,3,Married,7969,19609,2,Y,Lembur,14,3,3,80,0,28,4,3,5,4,0,4
761,762,38,Bertahan,Travel_Rarely,330,Research & Development,17,1,Life Sciences,1,3,Female,65,2,3,Healthcare Representative,3,Married,8823,24608,0,Y,Tidak Lembur,18,3,1,80,1,20,4,2,19,9,1,9
762,763,30,Bertahan,Travel_Rarely,1427,Research & Development,2,1,Medical,1,2,Male,35,2,1,Laboratory Technician,4,Single,2720,11162,0,Y,Tidak Lembur,13,3,4,80,0,6,3,3,5,3,1,2
763,764,39,Keluar,Travel_Frequently,203,Research & Development,2,3,Life Sciences,1,1,Male,84,3,4,Healthcare Representative,4,Divorced,12169,13547,7,Y,Tidak Lembur,11,3,4,80,3,21,4,3,18,7,11,5
766,767,34,Bertahan,Non-Travel,697,Research & Development,3,4,Life Sciences,1,3,Male,40,2,1,Research Scientist,4,Married,2979,22478,3,Y,Tidak Lembur,17,3,4,80,3,6,2,3,0,0,0,0
770,771,41,Bertahan,Travel_Rarely,1411,Research & Development,19,2,Life Sciences,1,3,Male,36,3,2,Research Scientist,1,Divorced,3072,19877,2,Y,Tidak Lembur,16,3,1,80,2,17,2,2,1,0,0,0
773,774,26,Keluar,Travel_Rarely,471,Research & Development,24,3,Technical Degree,1,3,Male,66,1,1,Laboratory Technician,4,Single,2340,23213,1,Y,Lembur,18,3,2,80,0,1,3,1,1,0,0,0
775,776,42,Bertahan,Travel_Frequently,1271,Research & Development,2,1,Medical,1,2,Male,35,3,1,Research Scientist,4,Single,2515,9068,5,Y,Lembur,14,3,4,80,0,8,2,3,2,1,2,2
776,777,41,Bertahan,Travel_Rarely,314,Human Resources,1,3,Human Resources,1,4,Male,59,2,5,Manager,3,Married,19189,19562,1,Y,Tidak Lembur,12,3,2,80,1,22,3,3,22,7,2,10
777,778,30,Bertahan,Travel_Rarely,1358,Sales,16,1,Life Sciences,1,4,Male,96,3,2,Sales Executive,3,Married,5301,2939,8,Y,Tidak Lembur,15,3,3,80,2,4,2,2,2,1,2,2
778,779,30,Bertahan,Non-Travel,111,Research & Development,9,3,Medical,1,3,Male,66,3,2,Laboratory Technician,1,Divorced,3072,11012,1,Y,Tidak Lembur,11,3,3,80,2,12,4,3,12,9,6,10
779,780,19,Keluar,Travel_Rarely,419,Sales,21,3,Other,1,4,Male,37,2,1,Sales Representative,2,Single,2121,9947,1,Y,Lembur,13,3,2,80,0,1,3,4,1,0,0,0
781,782,27,Bertahan,Travel_Rarely,618,Research & Development,4,3,Life Sciences,1,2,Female,76,3,1,Research Scientist,3,Single,2318,17808,1,Y,Tidak Lembur,19,3,3,80,0,1,2,3,1,1,0,0
782,783,38,Bertahan,Travel_Rarely,119,Sales,3,3,Life Sciences,1,1,Male,76,3,3,Sales Executive,3,Divorced,10609,9647,0,Y,Tidak Lembur,12,3,3,80,2,17,6,2,16,10,5,13
783,784,36,Bertahan,Non-Travel,1229,Sales,8,4,Technical Degree,1,1,Male,84,3,2,Sales Executive,4,Divorced,5079,25952,4,Y,Tidak Lembur,13,3,4,80,2,12,3,3,7,7,0,7
785,786,32,Keluar,Travel_Rarely,1033,Research & Development,9,3,Medical,1,1,Female,41,3,1,Laboratory Technician,1,Single,4200,10224,7,Y,Tidak Lembur,22,4,1,80,0,10,2,4,5,4,0,4
786,787,39,Bertahan,Travel_Rarely,1329,Sales,4,4,Life Sciences,1,4,Female,47,2,2,Sales Executive,3,Married,5902,14590,4,Y,Tidak Lembur,14,3,3,80,1,17,1,4,15,11,5,9
787,788,33,Keluar,Travel_Frequently,1076,Research & Development,3,3,Life Sciences,1,1,Male,70,3,1,Research Scientist,1,Single,3348,3164,1,Y,Lembur,11,3,1,80,0,10,3,3,10,8,9,7
788,789,46,Bertahan,Travel_Rarely,1485,Research & Development,18,3,Medical,1,3,Female,87,3,2,Manufacturing Director,3,Divorced,4810,26314,2,Y,Tidak Lembur,14,3,3,80,1,19,5,2,10,7,0,8
789,790,46,Bertahan,Travel_Rarely,1125,Sales,10,3,Marketing,1,3,Female,94,2,3,Sales Executive,4,Married,9071,11563,2,Y,Lembur,19,3,3,80,1,15,3,3,3,2,1,2
790,791,41,Bertahan,Travel_Rarely,263,Research & Development,6,3,Medical,1,4,Male,59,3,1,Laboratory Technician,1,Single,4721,3119,2,Y,Lembur,13,3,3,80,0,20,3,3,18,13,2,17
792,793,39,Bertahan,Travel_Rarely,141,Human Resources,3,3,Human Resources,1,3,Female,44,4,2,Human Resources,2,Married,6389,18767,9,Y,Tidak Lembur,15,3,3,80,1,12,3,1,8,3,3,6
794,795,34,Keluar,Non-Travel,1362,Sales,19,3,Marketing,1,1,Male,67,4,2,Sales Executive,4,Single,5304,4652,8,Y,Lembur,13,3,2,80,0,9,3,2,5,2,0,4
795,796,34,Bertahan,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,Y,Tidak Lembur,11,3,3,80,0,13,4,3,12,6,2,11
797,798,29,Bertahan,Travel_Rarely,144,Sales,10,1,Marketing,1,4,Female,39,2,2,Sales Executive,2,Divorced,8268,11866,1,Y,Lembur,14,3,1,80,2,7,2,3,7,7,1,7
798,799,37,Bertahan,Travel_Rarely,290,Research & Development,21,3,Life Sciences,1,2,Male,65,4,1,Research Scientist,1,Married,3564,22977,1,Y,Lembur,12,3,1,80,1,8,3,2,8,7,1,7
799,800,35,Bertahan,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,1,4,Male,36,4,1,Laboratory Technician,4,Married,2269,4892,1,Y,Tidak Lembur,19,3,4,80,0,1,2,3,1,0,0,1
800,801,46,Bertahan,Travel_Rarely,644,Research & Development,1,4,Medical,1,4,Male,97,3,3,Healthcare Representative,1,Divorced,9396,12368,7,Y,Tidak Lembur,16,3,3,80,1,17,3,3,4,2,0,3
801,802,47,Keluar,Travel_Frequently,719,Sales,27,2,Life Sciences,1,2,Female,77,4,2,Sales Executive,3,Single,6397,10339,4,Y,Lembur,12,3,4,80,0,8,2,3,5,4,1,3
802,803,30,Bertahan,Travel_Frequently,1012,Research & Development,5,4,Life Sciences,1,2,Male,75,2,1,Research Scientist,4,Divorced,3761,2373,9,Y,Tidak Lembur,12,3,2,80,1,10,3,2,5,4,0,3
803,804,29,Bertahan,Travel_Rarely,1107,Research & Development,28,4,Life Sciences,1,3,Female,93,3,1,Research Scientist,4,Divorced,2514,26968,4,Y,Tidak Lembur,22,4,1,80,1,11,1,3,7,5,1,7
804,805,50,Bertahan,Travel_Rarely,1207,Research & Development,28,1,Medical,1,4,Male,74,4,1,Laboratory Technician,3,Married,3221,3297,1,Y,Lembur,11,3,3,80,3,20,3,3,20,8,3,8
805,806,34,Bertahan,Travel_Rarely,1400,Sales,9,1,Life Sciences,1,2,Female,70,3,2,Sales Executive,3,Married,5714,5829,1,Y,Tidak Lembur,20,4,1,80,0,6,3,2,6,5,1,3
806,807,31,Keluar,Travel_Rarely,330,Research & Development,22,4,Medical,1,4,Male,98,3,2,Manufacturing Director,3,Married,6179,21057,1,Y,Lembur,15,3,4,80,2,10,3,2,10,2,6,7
807,808,48,Bertahan,Travel_Rarely,277,Research & Development,6,3,Life Sciences,1,1,Male,97,2,2,Healthcare Representative,3,Single,4240,13119,2,Y,Tidak Lembur,13,3,4,80,0,19,0,3,2,2,2,2
810,811,43,Bertahan,Travel_Rarely,1473,Research & Development,8,4,Other,1,3,Female,74,3,2,Healthcare Representative,3,Divorced,4522,2227,4,Y,Lembur,14,3,4,80,0,8,3,3,5,2,0,2
811,812,34,Bertahan,Travel_Rarely,258,Sales,21,4,Life Sciences,1,4,Male,74,4,2,Sales Executive,4,Single,5337,19921,1,Y,Tidak Lembur,12,3,4,80,0,10,3,3,10,7,5,7
812,813,60,Bertahan,Travel_Rarely,696,Sales,7,4,Marketing,1,2,Male,52,4,2,Sales Executive,4,Divorced,5220,10893,0,Y,Lembur,18,3,2,80,1,12,3,3,11,7,1,9
813,814,52,Bertahan,Travel_Rarely,258,Research & Development,8,4,Other,1,3,Female,54,3,1,Laboratory Technician,1,Married,2950,17363,9,Y,Tidak Lembur,13,3,3,80,0,12,2,1,5,4,0,4
814,815,25,Bertahan,Travel_Rarely,1280,Research & Development,7,1,Medical,1,4,Male,64,2,1,Research Scientist,4,Married,2889,26897,1,Y,Tidak Lembur,11,3,3,80,2,2,2,3,2,2,2,1
815,816,46,Bertahan,Travel_Rarely,705,Sales,2,4,Marketing,1,2,Female,83,3,5,Manager,1,Single,18947,22822,3,Y,Tidak Lembur,12,3,4,80,0,22,2,2,2,2,2,1
817,818,29,Bertahan,Travel_Rarely,1010,Research & Development,1,3,Life Sciences,1,1,Female,97,3,1,Research Scientist,4,Divorced,3760,5598,1,Y,Tidak Lembur,15,3,1,80,3,3,5,3,3,2,1,2
818,819,41,Keluar,Travel_Frequently,143,Sales,4,3,Marketing,1,1,Male,56,3,2,Sales Executive,2,Single,9355,9558,1,Y,Tidak Lembur,18,3,3,80,0,8,5,3,8,7,7,7
819,820,45,Bertahan,Travel_Rarely,192,Research & Development,10,2,Life Sciences,1,1,Male,69,3,1,Research Scientist,4,Married,2654,9655,3,Y,Tidak Lembur,21,4,4,80,2,8,3,2,2,2,0,2
820,821,30,Bertahan,Travel_Rarely,855,Sales,7,4,Marketing,1,4,Female,73,3,2,Sales Executive,1,Divorced,4779,12761,7,Y,Tidak Lembur,14,3,2,80,2,8,3,3,3,2,0,2
821,822,33,Bertahan,Travel_Frequently,1146,Sales,25,3,Medical,1,2,Female,82,3,2,Sales Executive,3,Married,4539,4905,1,Y,Tidak Lembur,12,3,1,80,1,10,3,2,10,7,0,1
822,823,33,Bertahan,Travel_Rarely,147,Human Resources,2,3,Human Resources,1,2,Male,99,3,1,Human Resources,3,Married,3600,8429,1,Y,Tidak Lembur,13,3,4,80,1,5,2,3,5,4,1,4
823,824,42,Bertahan,Travel_Frequently,748,Research & Development,9,2,Medical,1,1,Female,74,3,1,Laboratory Technician,4,Single,3673,16458,1,Y,Tidak Lembur,13,3,3,80,0,12,3,3,12,9,5,8
824,825,43,Bertahan,Travel_Rarely,531,Sales,4,4,Marketing,1,4,Female,56,2,3,Sales Executive,4,Single,10231,20364,3,Y,Tidak Lembur,14,3,4,80,0,23,3,4,21,7,15,17
825,826,39,Bertahan,Travel_Rarely,466,Research & Development,1,1,Life Sciences,1,4,Female,65,2,4,Manufacturing Director,4,Married,12742,7060,1,Y,Tidak Lembur,16,3,3,80,1,21,3,3,21,6,11,8
826,827,39,Bertahan,Travel_Rarely,1431,Research & Development,1,4,Medical,1,3,Female,96,3,1,Laboratory Technician,3,Divorced,2232,15417,7,Y,Tidak Lembur,14,3,3,80,3,7,1,3,3,2,1,2
827,828,35,Bertahan,Non-Travel,1212,Sales,8,2,Marketing,1,3,Female,78,2,3,Sales Executive,4,Married,10377,13755,4,Y,Lembur,11,3,2,80,1,16,6,2,13,2,4,12
829,830,26,Keluar,Travel_Rarely,1449,Research & Development,16,4,Medical,1,1,Male,45,3,1,Laboratory Technician,2,Divorced,2373,14180,2,Y,Lembur,13,3,4,80,1,5,2,3,3,2,0,2
831,832,51,Bertahan,Travel_Rarely,1178,Sales,14,2,Life Sciences,1,3,Female,87,3,2,Sales Executive,4,Married,4936,14862,4,Y,Tidak Lembur,11,3,3,80,1,18,2,2,7,7,0,7
833,834,40,Bertahan,Travel_Rarely,1202,Research & Development,2,1,Medical,1,2,Female,89,4,2,Healthcare Representative,3,Divorced,6377,13888,5,Y,Tidak Lembur,20,4,2,80,3,15,0,3,12,11,11,8
834,835,32,Bertahan,Travel_Rarely,604,Sales,8,3,Medical,1,3,Male,56,4,2,Sales Executive,4,Married,6209,11693,1,Y,Tidak Lembur,15,3,3,80,2,10,4,4,10,7,0,8
835,836,28,Bertahan,Travel_Rarely,995,Research & Development,9,3,Medical,1,3,Female,77,3,1,Research Scientist,3,Divorced,2377,9834,5,Y,Tidak Lembur,18,3,2,80,1,6,2,3,2,2,2,2
838,839,40,Bertahan,Travel_Rarely,1398,Sales,2,4,Life Sciences,1,3,Female,79,3,5,Manager,3,Married,18041,13022,0,Y,Tidak Lembur,14,3,4,80,0,21,2,3,20,15,1,12
839,840,45,Bertahan,Travel_Frequently,1249,Research & Development,7,3,Life Sciences,1,1,Male,97,3,3,Laboratory Technician,1,Divorced,5210,20308,1,Y,Tidak Lembur,18,3,1,80,1,24,2,3,24,9,9,11
840,841,44,Bertahan,Travel_Rarely,1315,Research & Development,3,4,Other,1,4,Male,35,3,5,Manager,4,Married,19513,9358,4,Y,Lembur,12,3,1,80,1,26,2,4,2,2,0,1
841,842,50,Bertahan,Travel_Rarely,1322,Research & Development,28,3,Life Sciences,1,4,Female,43,3,4,Research Director,1,Married,16880,22422,4,Y,Lembur,11,3,2,80,0,25,2,3,3,2,1,2
842,843,45,Bertahan,Non-Travel,248,Research & Development,23,2,Life Sciences,1,4,Male,42,3,2,Laboratory Technician,1,Married,3633,14039,1,Y,Lembur,15,3,3,80,1,9,2,3,9,8,0,8
843,844,35,Bertahan,Travel_Frequently,853,Sales,18,5,Life Sciences,1,2,Male,71,3,3,Sales Executive,1,Married,9069,11031,1,Y,Tidak Lembur,22,4,4,80,1,9,3,2,9,8,1,8
844,845,48,Bertahan,Travel_Rarely,855,Research & Development,4,3,Life Sciences,1,4,Male,54,3,3,Manufacturing Director,4,Single,7898,18706,1,Y,Tidak Lembur,11,3,3,80,0,11,2,3,10,9,0,8
845,846,40,Bertahan,Travel_Rarely,1300,Research & Development,24,2,Technical Degree,1,1,Male,62,3,2,Research Scientist,4,Divorced,3319,24447,1,Y,Tidak Lembur,17,3,1,80,2,9,3,3,9,8,4,7
846,847,42,Bertahan,Travel_Rarely,544,Human Resources,2,1,Technical Degree,1,3,Male,52,3,1,Human Resources,3,Divorced,2696,24017,0,Y,Lembur,11,3,3,80,1,4,5,3,3,2,1,0
848,849,21,Bertahan,Travel_Rarely,996,Research & Development,3,2,Medical,1,4,Male,100,2,1,Research Scientist,3,Single,3230,10531,1,Y,Tidak Lembur,17,3,1,80,0,3,4,4,3,2,1,0
849,850,38,Bertahan,Travel_Rarely,268,Research & Development,2,5,Medical,1,4,Male,92,3,1,Research Scientist,3,Married,3057,20471,6,Y,Lembur,13,3,2,80,1,6,0,1,1,0,0,1
850,851,35,Bertahan,Travel_Rarely,1142,Research & Development,23,4,Medical,1,3,Female,30,3,1,Laboratory Technician,1,Married,4014,16002,3,Y,Lembur,15,3,3,80,1,4,3,3,2,2,2,2
851,852,28,Keluar,Travel_Rarely,1157,Research & Development,2,4,Medical,1,1,Male,84,1,1,Research Scientist,4,Married,3464,24737,5,Y,Lembur,13,3,4,80,0,5,4,2,3,2,2,2
853,854,53,Bertahan,Travel_Rarely,1376,Sales,2,2,Medical,1,3,Male,45,3,4,Manager,3,Divorced,14852,13938,6,Y,Tidak Lembur,13,3,3,80,1,22,3,4,17,13,15,2
854,855,35,Bertahan,Travel_Frequently,200,Research & Development,18,2,Life Sciences,1,3,Male,60,3,3,Manufacturing Director,4,Single,9362,19944,2,Y,Tidak Lembur,11,3,3,80,0,10,2,3,2,2,2,2
855,856,36,Bertahan,Travel_Frequently,1480,Research & Development,3,2,Medical,1,4,Male,30,3,1,Laboratory Technician,2,Single,2088,15062,4,Y,Tidak Lembur,12,3,3,80,0,13,3,2,8,7,7,2
856,857,36,Bertahan,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,1,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,Y,Tidak Lembur,13,3,2,80,3,17,2,3,17,14,12,8
857,858,59,Bertahan,Travel_Rarely,715,Research & Development,2,3,Life Sciences,1,3,Female,69,2,4,Manufacturing Director,4,Single,13726,21829,3,Y,Lembur,13,3,1,80,0,30,4,3,5,3,4,3
862,863,49,Bertahan,Travel_Rarely,174,Sales,8,4,Technical Degree,1,4,Male,56,2,4,Sales Executive,2,Married,13120,11879,6,Y,Tidak Lembur,17,3,2,80,1,22,3,3,9,8,2,3
863,864,36,Bertahan,Travel_Rarely,132,Research & Development,6,3,Life Sciences,1,2,Female,55,4,1,Laboratory Technician,4,Married,3038,22002,3,Y,Tidak Lembur,12,3,2,80,0,5,3,3,1,0,0,0
866,867,53,Bertahan,Travel_Rarely,970,Research & Development,7,3,Life Sciences,1,3,Male,59,4,4,Research Director,3,Married,14814,13514,3,Y,Tidak Lembur,19,3,3,80,0,32,3,3,5,1,1,3
867,868,53,Bertahan,Travel_Rarely,868,Sales,8,3,Marketing,1,1,Male,73,3,4,Sales Executive,4,Married,11836,22789,5,Y,Tidak Lembur,14,3,3,80,1,28,3,3,2,0,2,2
871,872,31,Keluar,Travel_Frequently,1445,Research & Development,1,5,Life Sciences,1,3,Female,100,4,3,Manufacturing Director,2,Single,7446,8931,1,Y,Tidak Lembur,11,3,1,80,0,10,2,3,10,8,4,7
873,874,29,Bertahan,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,1,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,Y,Tidak Lembur,11,3,3,80,1,10,1,3,10,9,8,8
875,876,26,Keluar,Travel_Frequently,342,Research & Development,2,3,Life Sciences,1,1,Male,57,3,1,Research Scientist,1,Married,2042,15346,6,Y,Lembur,14,3,2,80,1,6,2,3,3,2,1,2
876,877,20,Keluar,Travel_Rarely,500,Sales,2,3,Medical,1,3,Female,49,2,1,Sales Representative,3,Single,2044,22052,1,Y,Tidak Lembur,13,3,4,80,0,2,3,2,2,2,0,2
877,878,31,Bertahan,Travel_Rarely,828,Sales,2,1,Life Sciences,1,2,Male,77,3,2,Sales Executive,4,Single,6582,8346,4,Y,Lembur,13,3,3,80,0,10,2,4,6,5,0,5
878,879,33,Bertahan,Travel_Rarely,1075,Human Resources,3,2,Human Resources,1,4,Male,57,3,1,Human Resources,2,Divorced,2277,22650,3,Y,Lembur,11,3,3,80,1,7,4,4,4,3,0,3
879,880,25,Bertahan,Travel_Rarely,949,Research & Development,1,3,Technical Degree,1,1,Male,81,3,1,Laboratory Technician,4,Married,3229,4910,4,Y,Tidak Lembur,11,3,2,80,1,7,2,2,3,2,0,2
880,881,34,Bertahan,Travel_Rarely,1442,Research & Development,9,3,Medical,1,4,Female,46,2,3,Healthcare Representative,2,Single,8621,17654,1,Y,Tidak Lembur,14,3,2,80,0,9,3,4,8,7,7,7
882,883,33,Bertahan,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,1,Female,98,3,3,Research Director,4,Single,13458,15146,1,Y,Lembur,12,3,3,80,0,15,1,3,15,14,8,12
883,884,45,Bertahan,Travel_Rarely,1448,Research & Development,29,3,Technical Degree,1,2,Male,55,3,3,Manufacturing Director,4,Married,9380,14720,4,Y,Lembur,18,3,4,80,2,10,4,4,3,1,1,2
884,885,40,Bertahan,Travel_Frequently,902,Research & Development,26,2,Medical,1,3,Female,92,2,2,Research Scientist,4,Married,4422,21203,3,Y,Lembur,13,3,4,80,1,16,3,1,1,1,0,0
886,887,22,Bertahan,Travel_Rarely,253,Research & Development,11,3,Medical,1,1,Female,43,3,1,Research Scientist,2,Married,2244,24440,1,Y,Tidak Lembur,13,3,4,80,1,2,1,3,2,1,1,2
887,888,38,Keluar,Travel_Rarely,1180,Research & Development,29,1,Medical,1,2,Male,70,3,2,Healthcare Representative,1,Married,6673,11354,7,Y,Lembur,19,3,2,80,0,17,2,3,1,0,0,0
889,890,43,Bertahan,Travel_Rarely,782,Research & Development,6,4,Other,1,2,Male,50,2,4,Research Director,4,Divorced,16627,2671,4,Y,Lembur,14,3,3,80,1,21,3,2,1,0,0,0
891,892,48,Bertahan,Travel_Rarely,530,Sales,29,1,Medical,1,1,Female,91,3,3,Manager,3,Married,12504,23978,3,Y,Tidak Lembur,21,4,2,80,1,15,3,1,0,0,0,0
892,893,18,Bertahan,Non-Travel,287,Research & Development,5,2,Life Sciences,1,2,Male,73,3,1,Research Scientist,4,Single,1051,13493,1,Y,Tidak Lembur,15,3,4,80,0,0,2,3,0,0,0,0
894,895,35,Bertahan,Travel_Rarely,1296,Research & Development,5,4,Technical Degree,1,3,Male,62,3,3,Manufacturing Director,2,Single,8095,18264,0,Y,Tidak Lembur,13,3,4,80,0,17,5,3,16,6,0,13
895,896,28,Bertahan,Travel_Frequently,193,Research & Development,2,3,Life Sciences,1,4,Male,52,2,1,Laboratory Technician,4,Married,3867,14222,1,Y,Lembur,12,3,2,80,1,2,2,3,2,2,2,2
898,899,48,Bertahan,Travel_Rarely,1236,Research & Development,1,4,Life Sciences,1,4,Female,40,2,4,Manager,1,Married,15402,17997,7,Y,Tidak Lembur,11,3,1,80,1,21,3,1,3,2,0,2
900,901,40,Bertahan,Travel_Rarely,989,Research & Development,4,1,Medical,1,4,Female,46,3,5,Manager,3,Married,19033,6499,1,Y,Tidak Lembur,14,3,2,80,1,21,2,3,20,8,9,9
904,905,25,Bertahan,Travel_Rarely,141,Sales,3,1,Other,1,3,Male,98,3,2,Sales Executive,1,Married,4194,14363,1,Y,Lembur,18,3,4,80,0,5,3,3,5,3,0,3
905,906,29,Keluar,Travel_Rarely,806,Research & Development,7,3,Technical Degree,1,2,Female,39,3,1,Laboratory Technician,3,Divorced,3339,17285,3,Y,Lembur,13,3,1,80,2,10,2,3,7,7,7,7
906,907,55,Bertahan,Travel_Frequently,1091,Research & Development,2,1,Life Sciences,1,4,Male,65,3,3,Manufacturing Director,2,Married,10976,15813,3,Y,Tidak Lembur,18,3,2,80,1,23,4,3,3,2,1,2
908,909,31,Bertahan,Travel_Rarely,1274,Research & Development,9,1,Life Sciences,1,3,Male,33,3,3,Manufacturing Director,2,Divorced,10648,14394,1,Y,Tidak Lembur,25,4,4,80,1,13,6,4,13,8,0,8
911,912,36,Bertahan,Travel_Rarely,216,Research & Development,6,2,Medical,1,2,Male,84,3,2,Manufacturing Director,2,Divorced,4941,2819,6,Y,Tidak Lembur,20,4,4,80,2,7,0,3,3,2,0,1
913,914,38,Bertahan,Travel_Rarely,1009,Sales,2,2,Life Sciences,1,2,Female,31,3,2,Sales Executive,1,Divorced,6893,19461,3,Y,Tidak Lembur,15,3,4,80,1,11,3,3,7,7,1,7
914,915,56,Bertahan,Travel_Rarely,713,Research & Development,8,3,Life Sciences,1,3,Female,67,3,1,Research Scientist,1,Divorced,4257,13939,4,Y,Lembur,18,3,3,80,1,19,3,3,2,2,2,2
915,916,59,Bertahan,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,1,Female,57,2,2,Sales Executive,3,Single,5473,24668,7,Y,Tidak Lembur,11,3,4,80,0,20,2,2,4,3,1,3
917,918,27,Bertahan,Travel_Rarely,1220,Research & Development,5,3,Life Sciences,1,3,Female,85,3,1,Research Scientist,2,Single,2478,20938,1,Y,Lembur,12,3,2,80,0,4,2,2,4,3,1,2
918,919,35,Bertahan,Travel_Rarely,882,Sales,3,4,Life Sciences,1,4,Male,92,3,3,Sales Executive,4,Divorced,7823,6812,6,Y,Tidak Lembur,13,3,2,80,1,12,2,3,10,9,0,8
